Date Time,Close,Open,High,Low,Change %,Volume
2017-11-08 00:00:00,113.88,114.0,114.05,113.39,-0.12%,150
2017-11-07 00:00:00,114.02,113.7,114.34,113.69,0.28%,150
2017-11-06 00:00:00,113.7,114.0,114.74,113.7,-0.33%,150
2017-11-03 00:00:00,114.08,114.08,114.44,113.66,-0.01%,150
2017-11-02 00:00:00,114.09,114.17,114.22,113.53,-0.07%,150
2017-11-01 00:00:00,114.17,113.64,114.3,113.61,0.47%,150
2017-10-31 00:00:00,113.64,113.17,113.73,112.97,0.40%,150
2017-10-30 00:00:00,113.19,113.73,113.84,113.03,-0.44%,150
2017-10-27 00:00:00,113.69,113.98,114.45,113.64,-0.25%,150
2017-10-26 00:00:00,113.98,113.75,114.08,113.34,0.20%,150
2017-10-25 00:00:00,113.75,113.92,114.25,113.48,-0.13%,150
2017-10-24 00:00:00,113.9,113.43,114.01,113.25,0.41%,150
2017-10-23 00:00:00,113.44,113.69,114.11,113.25,-0.07%,150
2017-10-20 00:00:00,113.52,112.53,113.58,112.52,0.86%,150
2017-10-19 00:00:00,112.55,112.94,113.16,112.31,-0.35%,150
2017-10-18 00:00:00,112.94,112.2,113.06,112.14,0.66%,150
2017-10-17 00:00:00,112.2,112.19,112.48,112.03,0.01%,150
2017-10-16 00:00:00,112.19,111.85,112.29,111.65,0.30%,150
2017-10-13 00:00:00,111.86,112.28,112.33,111.69,-0.37%,150
2017-10-12 00:00:00,112.28,112.5,112.53,112.12,-0.20%,150
2017-10-11 00:00:00,112.5,112.45,112.59,112.08,0.04%,150
2017-10-10 00:00:00,112.45,112.67,112.83,112.0,-0.20%,150
2017-10-09 00:00:00,112.67,112.69,112.75,112.32,0.03%,150
2017-10-06 00:00:00,112.64,112.81,113.44,112.61,-0.16%,150
2017-10-05 00:00:00,112.82,112.75,112.92,112.41,0.06%,150
2017-10-04 00:00:00,112.75,112.86,112.94,112.33,-0.10%,150
2017-10-03 00:00:00,112.86,112.75,113.2,112.64,0.08%,150
2017-10-02 00:00:00,112.77,112.56,113.06,112.44,0.25%,150
2017-09-29 00:00:00,112.49,112.35,112.74,112.21,0.13%,150
2017-09-28 00:00:00,112.34,112.86,113.2,112.25,-0.43%,150
2017-09-27 00:00:00,112.83,112.25,113.27,112.21,0.53%,150
2017-09-26 00:00:00,112.23,111.73,112.48,111.5,0.45%,150
2017-09-25 00:00:00,111.73,111.98,112.53,111.47,-0.22%,150
2017-09-22 00:00:00,111.98,112.47,112.56,111.66,-0.44%,150
2017-09-21 00:00:00,112.47,112.21,112.72,112.13,0.22%,150
2017-09-20 00:00:00,112.22,111.58,112.53,111.11,0.56%,150
2017-09-19 00:00:00,111.59,111.56,111.89,111.19,0.02%,150
2017-09-18 00:00:00,111.57,110.88,111.67,110.88,0.66%,150
